customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0022-CUST,Female,0,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.0,1041.17,No
0023-CUST,Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.8,206.52,No
0024-CUST,Female,1,No,Yes,40,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,62.51,2519.08,Yes
0025-CUST,Male,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.5,1017.57,No
0026-CUST,Male,0,No,Yes,33,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,82.8,2690.92,No
0027-CUST,Male,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.5,3608.27,No
0028-CUST,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,74.64,1417.64,Yes
0029-CUST,Female,0,Yes,No,46,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),56.61,2626.72,Yes
0030-CUST,Female,0,No,Yes,53,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),77.38,4094.35,No
0031-CUST,Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,76.13,2201.22,Yes
0032-CUST,Male,0,No,No,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.05,567.06,No
0033-CUST,Male,0,Yes,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,63.0,3116.59,Yes
0034-CUST,Male,1,Yes,Yes,63,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),60.76,3835.25,No
0035-CUST,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,96.82,1641.0,No
0036-CUST,Male,1,Yes,No,49,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,60.03,2919.0,No
0037-CUST,Male,0,No,Yes,49,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),56.76,2755.84,No
0038-CUST,Male,0,No,No,2,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,77.4,124.92,Yes
0039-CUST,Female,0,No,No,41,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),70.19,2887.7,No
0040-CUST,Male,0,Yes,No,6,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),66.29,404.19,Yes
0041-CUST,Female,0,No,No,13,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),62.1,819.2,Yes
0042-CUST,Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,91.04,1929.49,No
0043-CUST,Male,0,Yes,Yes,27,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.64,1937.65,Yes
0044-CUST,Female,0,No,No,22,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),88.56,1929.39,No
0045-CUST,Female,0,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),73.73,1092.66,Yes
0046-CUST,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.85,250.77,No
0047-CUST,Male,0,No,Yes,43,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,83.06,3563.77,No
0048-CUST,Female,0,No,No,59,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,77.59,4541.14,No
0049-CUST,Male,0,No,Yes,44,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),60.58,2651.3,No
0050-CUST,Male,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,622.1,No
0051-CUST,Male,0,No,No,63,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,69.76,4399.31,No
0052-CUST,Female,0,Yes,Yes,38,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,47.58,1810.26,Yes
0053-CUST,Female,0,No,No,2,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,65.65,115.13,Yes
0054-CUST,Female,0,No,Yes,54,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.83,4660.05,No
0055-CUST,Female,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),76.74,2380.23,Yes
0056-CUST,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,43.38,No
0057-CUST,Female,0,No,No,48,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.6,3408.01,Yes
0058-CUST,Male,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.79,1176.1,No
0059-CUST,Male,0,No,No,64,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,71.06,4538.1,No
0060-CUST,Female,0,Yes,No,45,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),76.73,3459.81,No
0061-CUST,Male,0,No,No,14,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),82.8,1160.06,No
0062-CUST,Female,0,No,No,68,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,79.22,5385.15,No
0063-CUST,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.2,1779.26,No
0064-CUST,Female,0,Yes,No,59,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),58.76,3478.01,No
0065-CUST,Female,0,Yes,Yes,28,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),81.74,2289.33,No
0066-CUST,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,80.27,1618.06,No
0067-CUST,Male,1,Yes,Yes,66,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,58.32,3841.12,No
0068-CUST,Male,0,Yes,No,26,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,46.7,1230.41,No
0069-CUST,Male,0,No,No,2,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,60.31,126.08,Yes
0070-CUST,Male,0,No,No,14,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.94,1354.24,No
0071-CUST,Male,0,No,Yes,25,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),86.99,2169.08,No
0072-CUST,Female,1,No,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.2,127.85,No
0073-CUST,Male,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),88.32,1854.93,No
0074-CUST,Male,0,No,No,52,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,90.32,4720.74,No
0075-CUST,Male,0,No,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,55.47,1950.02,No
0076-CUST,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.99,517.71,No
0077-CUST,Female,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.51, ,Yes
0078-CUST,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),77.56,864.17,Yes
0079-CUST,Female,1,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,1112.17,No
0080-CUST,Female,1,No,Yes,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,75.85,2122.66,Yes
0081-CUST,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,671.13,No
0082-CUST,Female,1,No,Yes,57,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,76.3,4364.32,No
0083-CUST,Male,0,No,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.69,1065.5,No
0084-CUST,Male,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.06,893.64,No
0085-CUST,Male,1,Yes,No,35,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,76.13,2660.97,Yes
0086-CUST,Female,0,No,No,6,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,62.01,374.77,Yes
0087-CUST,Male,0,No,Yes,34,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),86.14,2907.1,Yes
0088-CUST,Male,0,Yes,No,27,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,67.57,1820.06,Yes
0089-CUST,Female,0,No,No,67,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,81.27,5427.28,No
0090-CUST,Male,0,No,No,25,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),53.57,1340.23,No
0091-CUST,Female,0,No,Yes,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,81.26,1068.82,No
0092-CUST,Male,0,Yes,Yes,47,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,83.05,3911.35,Yes
0093-CUST,Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.67,3994.63,Yes
0094-CUST,Male,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.77, ,No
0095-CUST,Female,0,No,No,24,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,75.66,1864.9,No
0096-CUST,Male,0,No,Yes,6,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,47.94,278.85,Yes
0097-CUST,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,73.43,1150.21,No
0098-CUST,Male,0,No,Yes,27,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,83.2,2218.57,Yes
0099-CUST,Female,0,Yes,Yes,24,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),63.49,1477.18,Yes
0100-CUST,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,81.68,2883.24,No
0101-CUST,Female,1,Yes,Yes,44,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,73.97,3256.4,No
0102-CUST,Male,0,No,Yes,53,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,63.02,3309.2,Yes
0103-CUST,Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.3,528.82,No
0104-CUST,Female,0,Yes,No,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,82.92,2479.43,Yes
0105-CUST,Female,0,No,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,87.3,5769.9,No
0106-CUST,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.77,365.14,No
0107-CUST,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.19,267.96,No
0108-CUST,Male,0,No,No,6,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),57.39,347.8,No
0109-CUST,Female,1,No,No,21,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.48,1611.76,Yes
0110-CUST,Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.14,3003.93,Yes
0111-CUST,Male,0,Yes,Yes,4,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,72.45,303.75,Yes
0112-CUST,Male,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.08,2161.62,Yes
0113-CUST,Female,1,No,Yes,4,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.85,351.62,Yes
0114-CUST,Male,1,No,No,27,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),82.72,2205.69,No
0115-CUST,Female,0,No,No,3,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,67.94,206.31,No
0116-CUST,Female,0,No,No,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,582.4,No
0117-CUST,Female,0,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,79.89,4294.4,No
0118-CUST,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,261.57,No
0119-CUST,Female,0,Yes,Yes,2,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,65.25,113.31,Yes
0120-CUST,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,295.27,No
0121-CUST,Female,1,No,Yes,49,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,55.36,2721.74,No
0122-CUST,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,84.32,1365.23,Yes
0123-CUST,Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,83.1,5808.1,No
0124-CUST,Male,0,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.41,3765.41,Yes
0125-CUST,Male,0,No,No,41,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,52.17,2137.76,No
0126-CUST,Male,0,Yes,Yes,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,78.42,4169.67,Yes
0127-CUST,Male,0,Yes,Yes,15,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,71.94,1081.36,No
0128-CUST,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.7,323.05,No
0129-CUST,Female,0,Yes,Yes,44,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),84.13,3673.58,No
0130-CUST,Male,0,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,73.94,1750.69,No
0131-CUST,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.32,255.56,No
0132-CUST,Female,0,No,No,64,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,54.78,3496.09,Yes
0133-CUST,Male,0,Yes,Yes,61,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,71.82,4393.94,No
0134-CUST,Female,1,Yes,Yes,13,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,83.79,1109.16,Yes
0135-CUST,Male,1,Yes,No,31,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,76.91,2405.53,No
0136-CUST,Female,0,No,No,37,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),83.46,3025.47,Yes
0137-CUST,Male,0,No,No,33,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,73.08,2402.36,No
0138-CUST,Female,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.26,779.89,No
0139-CUST,Male,0,No,No,33,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),57.66,1894.45,No
0140-CUST,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),71.34,2819.27,No
0141-CUST,Male,0,Yes,No,24,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),88.03,2133.24,No
0142-CUST,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.03,685.21,No
0143-CUST,Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),88.74,614.34,No
0144-CUST,Male,0,No,No,46,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,74.72,3481.38,Yes
0145-CUST,Male,0,Yes,No,17,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,61.62,1001.15,No
0146-CUST,Male,0,No,No,16,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),68.26,1070.08,No
0147-CUST,Female,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),87.92,4302.76,Yes
0148-CUST,Male,0,Yes,Yes,61,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),69.4,4246.36,No
0149-CUST,Male,0,Yes,No,2,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,64.47,130.58,No
0150-CUST,Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),83.48,395.53,No
0151-CUST,Female,0,No,No,16,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,83.4,1349.16,No
0152-CUST,Male,1,No,No,49,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),67.56,3322.09,No
0153-CUST,Female,0,Yes,No,21,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.58,1870.37,Yes
0154-CUST,Male,1,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,560.88,No
0155-CUST,Female,0,Yes,No,46,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,85.06,3890.21,No
0156-CUST,Male,0,No,Yes,59,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),46.16,2734.13,No
0157-CUST,Female,0,Yes,No,31,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,55.17,1686.5,No
0158-CUST,Female,0,Yes,No,37,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),64.62,2364.87,No
0159-CUST,Female,0,No,Yes,42,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),82.48,3496.65,Yes
0160-CUST,Male,1,No,No,55,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),67.22,3698.96,No
0161-CUST,Female,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.0,471.59,No
0162-CUST,Male,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),77.93,4169.71,No
0163-CUST,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.49,2228.0,Yes
0164-CUST,Female,0,No,Yes,45,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,89.26,4017.01,No
0165-CUST,Male,0,Yes,No,17,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,82.13,1418.43,No
0166-CUST,Female,0,No,No,32,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.98,2640.29,No
0167-CUST,Female,0,Yes,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.4,410.55,No
0168-CUST,Male,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,1090.99,No
0169-CUST,Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.97,571.01,No
0170-CUST,Male,0,Yes,No,44,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,90.61,4001.12,No
0171-CUST,Female,0,Yes,Yes,32,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,66.57,2135.6,No
0172-CUST,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,91.98,3591.53,Yes
0173-CUST,Female,0,No,No,40,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,81.01,3252.63,No
0174-CUST,Male,0,No,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),72.6,3532.9,No
